Rohvariablenname,Tatsächlich verwendete Spalte,Kategorie,Unterkategorie,Merkmal,Hypothese,Haupttext,Anhang,Technisch/auswertungsbezogen,Reihenfolge,Datentyp,Im Datensatz verfügbar
visual_sharpness__sharpness_laplacian_std,visual_sharpness__sharpness_laplacian_std,Bildtechnische Qualität,Bildtechnische Qualität,Streuung der Bildschärfe,H2,ja,ja,nein,205,numeric,ja
visual_sharpness__processed_frame_count,visual_sharpness__processed_frame_count,Bildtechnische Qualität,Bildtechnische Qualität,Ausgewertete Frames der Schärfeanalyse,H2,nein,ja,ja,251,numeric,ja
aesthetic_quality__aesthetic_quality_score,aesthetic_quality__aesthetic_quality_score,Ästhetik und visuelle Optimierung,Ästhetik und visuelle Optimierung,Aesthetic Score,H3,ja,ja,nein,301,numeric,ja
beauty_scoring__beauty_score_mean,beauty_scoring__beauty_score_mean,Ästhetik und visuelle Optimierung,Ästhetik und visuelle Optimierung,Beauty Score,H3,ja,ja,nein,302,numeric,ja
beauty_scoring__beauty_score_std,beauty_scoring__beauty_score_std,Ästhetik und visuelle Optimierung,Ästhetik und visuelle Optimierung,Beauty Score SD,H3,ja,ja,nein,303,numeric,ja
skin_smoothness__skin_smoothness_highpass_index,skin_smoothness__skin_smoothness_highpass_index,Ästhetik und visuelle Optimierung,Ästhetik und visuelle Optimierung,Hautglättung Highpass,H3,ja,ja,nein,304,numeric,ja
skin_smoothness__skin_smoothness_dog_index,skin_smoothness__skin_smoothness_dog_index,Ästhetik und visuelle Optimierung,Ästhetik und visuelle Optimierung,Hautglättung DoG,H3,ja,ja,nein,305,numeric,ja
visual_filter__filter_strength_prob,visual_filter__filter_strength_prob,Ästhetik und visuelle Optimierung,Ästhetik und visuelle Optimierung,Wahrscheinlichkeit für Filtereinsatz,H3,ja,ja,nein,306,numeric,ja
visual_filter__filter_strength_std,visual_filter__filter_strength_std,Ästhetik und visuelle Optimierung,Ästhetik und visuelle Optimierung,Streuung der Filterstärke,H3,ja,ja,nein,307,numeric,ja
aesthetic_quality__aesthetic_quality_scored_frames,aesthetic_quality__aesthetic_quality_scored_frames,Ästhetik und visuelle Optimierung,Ästhetik und visuelle Optimierung,Anzahl ästhetisch bewerteter Frames,H3,nein,ja,ja,351,numeric,ja
beauty_scoring__beauty_detected_face_frames,beauty_scoring__beauty_detected_face_frames,Ästhetik und visuelle Optimierung,Ästhetik und visuelle Optimierung,Anzahl bewertbarer Gesichtsframes,H3,nein,ja,ja,352,numeric,ja
skin_smoothness__detected_skin_face_frames,skin_smoothness__detected_skin_face_frames,Ästhetik und visuelle Optimierung,Ästhetik und visuelle Optimierung,Anzahl auswertbarer Hautframes,H3,nein,ja,ja,353,numeric,ja
skin_smoothness__skin_selected_sigma,skin_smoothness__skin_selected_sigma,Ästhetik und visuelle Optimierung,Ästhetik und visuelle Optimierung,Gewählter Sigma-Wert der Hautanalyse,H3,nein,ja,ja,354,numeric,ja
skin_smoothness__skin_texture_laplacian_var,skin_smoothness__skin_texture_laplacian_var,Ästhetik und visuelle Optimierung,Ästhetik und visuelle Optimierung,Feinstruktur der Hauttextur,H3,nein,ja,ja,355,numeric,ja
skin_smoothness__skin_texture_highpass_var,skin_smoothness__skin_texture_highpass_var,Ästhetik und visuelle Optimierung,Ästhetik und visuelle Optimierung,Hochfrequenztextur der Haut,H3,nein,ja,ja,356,numeric,ja
skin_smoothness__skin_texture_dog_var,skin_smoothness__skin_texture_dog_var,Ästhetik und visuelle Optimierung,Ästhetik und visuelle Optimierung,Texturkontrast der Haut,H3,nein,ja,ja,357,numeric,ja
visual_filter__processed_frame_count,visual_filter__processed_frame_count,Ästhetik und visuelle Optimierung,Ästhetik und visuelle Optimierung,Ausgewertete Frames der Filteranalyse,H3,nein,ja,ja,358,numeric,ja
face_emotion__emotion_major_beit_confidence,face_emotion__emotion_major_beit_confidence,Emotion und Präsenz,Gesichtsemotion,Emotionssicherheit,H4,ja,ja,nein,401,numeric,ja
face_emotion__emotion_unique_labels,face_emotion__emotion_unique_labels,Emotion und Präsenz,Gesichtsemotion,Emotionsvielfalt,H4,ja,ja,nein,402,numeric,ja
face_emotion__emotion_major_beit_readable,face_emotion__emotion_major_beit_readable,Emotion und Präsenz,Gesichtsemotion,Dominante Gesichtsemotion,H4,ja,ja,nein,403,categorical,ja
face_emotion__detected_emotion_frames,face_emotion__detected_emotion_frames,Emotion und Präsenz,Gesichtsemotion,Anzahl emotional auswertbarer Frames,H4,nein,ja,ja,404,numeric,ja
